Model,Method,Cov,GP,CB,ΔCov,ΔGP,ΔCB
GPT-5-mini,BASE,0.34,0.549,0.433,-0.91,0.184,-0.078
Qwen3-4B,BASE,0.528,0.69,0.491,-0.64,0.278,-0.063
Qwen3-4B,DAPO,0.859,0.781,0.7,-0.203,-0.068,-0.138
Qwen3-4B,DPO,0.982,0.797,0.7,-0.024,-0.079,-0.137
Qwen3-4B,PARA,0.918,0.763,0.695,-0.118,-0.071,-0.137
Qwen3-4B,SFT,0.922,0.782,0.704,-0.107,-0.06,-0.138
Qwen3-8B,BASE,0.57,0.733,0.58,-0.581,0.287,-0.046
Qwen3-8B,DAPO,0.919,0.796,0.709,-0.116,-0.078,-0.132
Qwen3-8B,DPO,0.957,0.796,0.714,-0.061,-0.074,-0.129
Qwen3-8B,PARA,0.921,0.785,0.714,-0.112,-0.059,-0.121
Qwen3-8B,SFT,0.921,0.793,0.719,-0.11,-0.062,-0.125
