Model,Method,Cov,GP,CB,Cov(✓),GP(✓),CB(✓),Cov(✗),GP(✗),CB(✗)
GPT-5-mini,BASE,0.34,0.432,0.485,1.0,0.926,0.561,0.308,0.354,0.473
Qwen3-4B,BASE,0.528,0.607,0.512,1.0,0.927,0.603,0.513,0.588,0.506
Qwen3-4B,DAPO,0.859,0.789,0.722,1.0,0.906,0.801,0.851,0.781,0.717
Qwen3-4B,DPO,0.982,0.805,0.715,1.0,0.954,0.924,0.982,0.804,0.712
Qwen3-4B,PARA,0.918,0.772,0.714,1.0,0.922,0.828,0.915,0.767,0.71
Qwen3-4B,SFT,0.922,0.789,0.722,1.0,0.963,0.906,0.92,0.785,0.718
Qwen3-8B,BASE,0.57,0.66,0.594,1.0,0.94,0.698,0.557,0.645,0.589
Qwen3-8B,DAPO,0.919,0.804,0.727,1.0,0.931,0.853,0.916,0.799,0.721
Qwen3-8B,DPO,0.957,0.805,0.729,1.0,0.955,0.891,0.956,0.802,0.726
Qwen3-8B,PARA,0.921,0.792,0.73,1.0,0.928,0.839,0.919,0.788,0.727
Qwen3-8B,SFT,0.921,0.801,0.735,1.0,0.965,0.888,0.919,0.797,0.731
